# entry       : 20823 
# subentry    : 008 
# pointer     : XX 
# reaction    : (79-AU-197(N,G)79-AU-198,,SIG,,,DERIV) 
# year        : 1973 
# author      : W.Dilg 
# institute   : 2GERMUN 
# reference   : (J,ZP,264,427,1973) 
# facility    : {'type': 'REAC', 'x4code': '2GERMUN'}
#     E(MeV)          dE(MeV)           xs(mb)           dxs(mb)           frame
      3.99000E-11      0.00000E+00      2.45820E+06      1.03244E+04       # Lab                   
      4.71000E-11      0.00000E+00      2.24430E+06      9.42606E+03       # Lab                   
      5.64000E-11      0.00000E+00      2.07530E+06      8.71626E+03       # Lab                   
      6.88000E-11      0.00000E+00      1.88900E+06      7.93380E+03       # Lab                   
      8.56000E-11      0.00000E+00      1.69780E+06      7.13076E+03       # Lab                   
      1.09400E-10      0.00000E+00      1.48540E+06      6.23868E+03       # Lab                   
      1.44500E-10      0.00000E+00      1.29820E+06      5.45244E+03       # Lab                   
      2.00000E-10      0.00000E+00      1.10320E+06      4.63344E+03       # Lab                   
      2.94000E-10      0.00000E+00      9.06800E+05      3.80856E+03       # Lab                   
      4.73000E-10      0.00000E+00      7.15700E+05      3.00594E+03       # Lab                   
      1.45400E-09      0.00000E+00      4.07500E+05      1.71150E+03       # Lab                   
      1.66900E-09      0.00000E+00      3.81800E+05      1.60356E+03       # Lab                   
      1.93600E-09      0.00000E+00      3.54200E+05      1.48764E+03       # Lab                   
      2.27200E-09      0.00000E+00      3.25600E+05      1.36752E+03       # Lab                   
      2.60800E-09      0.00000E+00      3.03900E+05      1.27638E+03       # Lab                   
      2.85800E-09      0.00000E+00      2.90700E+05      1.22094E+03       # Lab                   
      3.02500E-09      0.00000E+00      2.82500E+05      1.18650E+03       # Lab                   
      3.14500E-09      0.00000E+00      2.77400E+05      1.16508E+03       # Lab                   
      3.27200E-09      0.00000E+00      2.71600E+05      1.14072E+03       # Lab                   
      3.40700E-09      0.00000E+00      2.66300E+05      1.11846E+03       # Lab                   
      3.55000E-09      0.00000E+00      2.60300E+05      1.09326E+03       # Lab                   
